SibeliusInstrumentName,InstrumentTypeIdentifier,HumdrumInstrumentCode,Notes
"Bass Lute, D tuning, French/English [tab]",instrument.fretted.lute.bass-d.french.english.tab,*Iliuto,
"Bass Lute, D tuning, Italian [tab]",instrument.fretted.lute.bass-d.italian.tab,*Iliuto,
"Bass Lute, D tuning, Spanish [tab]",instrument.fretted.lute.bass-d.spanish.tab,*Iliuto,
"Tenor Lute, G tuning, Italian [tab]",instrument.fretted.lute.italian.tab,*Iliuto,
"Tenor Lute, G tuning, Spanish [tab]",instrument.fretted.lute.spanish.tab,*Iliuto,
"Tenor Lute, G tuning, French/English [tab]",instrument.fretted.lute.tab,*Iliuto,
"Tenor Lute, A tuning, French/English [tab]",instrument.fretted.lute.tenor-a.french.english.tab,*Iliuto,
"Tenor Lute, A tuning, Italian [tab]",instrument.fretted.lute.tenor-a.italian.tab,*Iliuto,
"Tenor Lute, A tuning, Spanish [tab]",instrument.fretted.lute.tenor-a.spanish.tab,*Iliuto,
Treble Lute [notation],instrument.fretted.lute.treble-d.french.english.5lines,*Iliuto,
"Treble Lute, D tuning, French/English [tab]",instrument.fretted.lute.treble-d.french.english.tab,*Iliuto,
"Treble Lute, D tuning, Italian [tab]",instrument.fretted.lute.treble-d.italian.tab,*Iliuto,
"Treble Lute, D tuning, Spanish [tab]",instrument.fretted.lute.treble-d.spanish.tab,*Iliuto,
Mandolin [notation],instrument.fretted.mandolin.5lines,*Imando,
Mandolin [tab],instrument.fretted.mandolin.tab,*Imando,
Oud [notation],instrument.fretted.oud.5lines,*Ioud,
Oud [tab],instrument.fretted.oud.tab,*Ioud,
Qanoon,instrument.fretted.qanoon.5lines,,
Requinto [notation],instrument.fretted.requinto.5lines,,
Requinto [tab],instrument.fretted.requinto.tab,,
Santoor,instrument.fretted.santoor.5lines,,
Sitar [notation],instrument.fretted.sitar.5lines,*Isitar,
Sitar (Ravi Shankar) [tab],instrument.fretted.sitar.ravi-shankkar.tab,*Isitar,
Sitar (Vilayat Khan) [tab],instrument.fretted.sitar.vilayat-khan.tab,*Isitar,
Tambura (Female) [notation],instrument.fretted.tambura.female,*Itambu,
Tambura (Male) [notation],instrument.fretted.tambura.male,*Itambu,
Tiple [notation],instrument.fretted.tiple.5lines,,
"Tiple, Argentina [tab]",instrument.fretted.tiple.argentina.tab,,
"Tiple, Colombia ADF#B tuning [tab]",instrument.fretted.tiple.colombia.tab.adfb,,
"Tiple, Colombia DGBE tuning [tab]",instrument.fretted.tiple.colombia.tab.dgbe,,
"Tiple, Cuba [tab]",instrument.fretted.tiple.cuba.tab,,
"Tiple, Peru [tab]",instrument.fretted.tiple.peru.tab,,
"Tiple, Santo Domingo [tab]",instrument.fretted.tiple.santo.domingo.tab,,
"Tiple, Uruguay [tab]",instrument.fretted.tiple.uruguay.tab,,
Tres [notation],instrument.fretted.tres.5lines,,
"Tres, GCE tuning [tab]",instrument.fretted.tres.tab,,
"Tres, ADF# tuning [tab]",instrument.fretted.tres.tab.adf,,
"Tres, GBE tuning [tab]",instrument.fretted.tres.tab.gbe,,
Ukulele [notation],instrument.fretted.ukulele.5lines,*Iukule,
Ukulele [tab],instrument.fretted.ukulele.tab,*Iukule,
